class,n,R,s,totalValue,totalWeight,processingTime
03InverseStronglyCorrelated,n00050,R01000,s000.kp,14914,16714,1.3057143688201904
03InverseStronglyCorrelated,n00050,R01000,s001.kp,12691,14191,0.023998737335205078
03InverseStronglyCorrelated,n00050,R01000,s002.kp,14346,16046,0.1547689437866211
03InverseStronglyCorrelated,n00050,R01000,s003.kp,13990,15690,0.005265235900878906
03InverseStronglyCorrelated,n00050,R01000,s004.kp,13138,14738,0.006499767303466797
03InverseStronglyCorrelated,n00050,R01000,s005.kp,13594,15194,0.11251544952392578
03InverseStronglyCorrelated,n00050,R01000,s006.kp,14016,15716,1.3377666473388672
03InverseStronglyCorrelated,n00050,R01000,s007.kp,11351,12951,0.176497220993042
03InverseStronglyCorrelated,n00050,R01000,s008.kp,12797,14297,0.0
03InverseStronglyCorrelated,n00050,R01000,s009.kp,11811,13311,0.0
03InverseStronglyCorrelated,n00050,R01000,s010.kp,13374,14974,0.0
03InverseStronglyCorrelated,n00050,R01000,s011.kp,13533,15133,0.0
03InverseStronglyCorrelated,n00050,R01000,s012.kp,12506,14106,0.4884159564971924
03InverseStronglyCorrelated,n00050,R01000,s013.kp,13322,15022,0.20075607299804688
03InverseStronglyCorrelated,n00050,R01000,s014.kp,12699,14299,0.002991914749145508
03InverseStronglyCorrelated,n00050,R01000,s015.kp,13964,15564,0.044130802154541016
03InverseStronglyCorrelated,n00050,R01000,s016.kp,12804,14404,0.0009963512420654297
03InverseStronglyCorrelated,n00050,R01000,s017.kp,14846,16546,0.250049352645874
03InverseStronglyCorrelated,n00050,R01000,s018.kp,12898,14598,0.04027724266052246
03InverseStronglyCorrelated,n00050,R01000,s019.kp,12377,13977,0.0
03InverseStronglyCorrelated,n00050,R01000,s020.kp,12552,14152,0.05681252479553223
03InverseStronglyCorrelated,n00050,R01000,s021.kp,12942,14542,0.03852367401123047
03InverseStronglyCorrelated,n00050,R01000,s022.kp,14782,16482,0.17841696739196777
03InverseStronglyCorrelated,n00050,R01000,s023.kp,12113,13713,0.0
03InverseStronglyCorrelated,n00050,R01000,s024.kp,14554,16254,0.5532288551330566
03InverseStronglyCorrelated,n00050,R01000,s025.kp,12260,13860,0.03566122055053711
03InverseStronglyCorrelated,n00050,R01000,s026.kp,13846,15446,0.010500907897949219
03InverseStronglyCorrelated,n00050,R01000,s027.kp,14050,15750,0.6012463569641113
03InverseStronglyCorrelated,n00050,R01000,s028.kp,11610,13010,0.0
03InverseStronglyCorrelated,n00050,R01000,s029.kp,12873,14573,0.0009975433349609375
03InverseStronglyCorrelated,n00050,R01000,s030.kp,13905,15605,0.6150023937225342
03InverseStronglyCorrelated,n00050,R01000,s031.kp,12490,13990,0.0
03InverseStronglyCorrelated,n00050,R01000,s032.kp,12300,13800,0.0626988410949707
03InverseStronglyCorrelated,n00050,R01000,s033.kp,12984,14584,0.006274700164794922
03InverseStronglyCorrelated,n00050,R01000,s034.kp,14073,15773,0.002995014190673828
03InverseStronglyCorrelated,n00050,R01000,s035.kp,13750,15450,1.462754726409912
03InverseStronglyCorrelated,n00050,R01000,s036.kp,14721,16421,0.1012260913848877
03InverseStronglyCorrelated,n00050,R01000,s037.kp,13480,15180,0.03548097610473633
03InverseStronglyCorrelated,n00050,R01000,s038.kp,12057,13657,0.008483648300170898
03InverseStronglyCorrelated,n00050,R01000,s039.kp,12907,14507,0.0
03InverseStronglyCorrelated,n00050,R01000,s040.kp,13178,14678,0.0
03InverseStronglyCorrelated,n00050,R01000,s041.kp,13116,14816,0.9476926326751709
03InverseStronglyCorrelated,n00050,R01000,s042.kp,12042,13642,0.381054162979126
03InverseStronglyCorrelated,n00050,R01000,s043.kp,13603,15303,0.02535390853881836
03InverseStronglyCorrelated,n00050,R01000,s044.kp,12180,13680,0.004244804382324219
03InverseStronglyCorrelated,n00050,R01000,s045.kp,12868,14468,0.02672100067138672
03InverseStronglyCorrelated,n00050,R01000,s046.kp,12357,13857,0.002209901809692383
03InverseStronglyCorrelated,n00050,R01000,s047.kp,13228,14928,0.2089691162109375
03InverseStronglyCorrelated,n00050,R01000,s048.kp,11446,12946,0.0
03InverseStronglyCorrelated,n00050,R01000,s049.kp,12469,14169,1.0643494129180908
03InverseStronglyCorrelated,n00050,R01000,s050.kp,14953,16653,0.2096254825592041
03InverseStronglyCorrelated,n00050,R01000,s051.kp,15136,16836,0.0009961128234863281
03InverseStronglyCorrelated,n00050,R01000,s052.kp,12374,13874,0.0019936561584472656
03InverseStronglyCorrelated,n00050,R01000,s053.kp,12854,14454,0.003989696502685547
03InverseStronglyCorrelated,n00050,R01000,s054.kp,13485,15085,0.015869617462158203
03InverseStronglyCorrelated,n00050,R01000,s055.kp,12862,14562,0.10856199264526367
