class,n,R,s,totalValue,totalWeight,processingTime
06UncorrelatedWithSimilarWeights,n00050,R01000,s000.kp,19676,2401482,0.0359349250793457
06UncorrelatedWithSimilarWeights,n00050,R01000,s001.kp,17920,2401186,0.008975505828857422
06UncorrelatedWithSimilarWeights,n00050,R01000,s002.kp,19477,2401507,0.027925491333007812
06UncorrelatedWithSimilarWeights,n00050,R01000,s003.kp,18611,2401535,0.08634805679321289
06UncorrelatedWithSimilarWeights,n00050,R01000,s004.kp,18362,2401047,0.006981611251831055
06UncorrelatedWithSimilarWeights,n00050,R01000,s005.kp,19503,2401442,0.005985260009765625
06UncorrelatedWithSimilarWeights,n00050,R01000,s006.kp,18586,2401241,0.07081437110900879
06UncorrelatedWithSimilarWeights,n00050,R01000,s007.kp,15882,2401330,0.006979942321777344
06UncorrelatedWithSimilarWeights,n00050,R01000,s008.kp,18044,2401047,0.002962827682495117
06UncorrelatedWithSimilarWeights,n00050,R01000,s009.kp,16781,2401092,0.0049860477447509766
06UncorrelatedWithSimilarWeights,n00050,R01000,s010.kp,18368,2401031,0.021939516067504883
06UncorrelatedWithSimilarWeights,n00050,R01000,s011.kp,18378,2401152,0.051862478256225586
06UncorrelatedWithSimilarWeights,n00050,R01000,s012.kp,17809,2401188,0.005498647689819336
06UncorrelatedWithSimilarWeights,n00050,R01000,s013.kp,18188,2401151,0.010969400405883789
06UncorrelatedWithSimilarWeights,n00050,R01000,s014.kp,17729,2401156,0.003988981246948242
06UncorrelatedWithSimilarWeights,n00050,R01000,s015.kp,19871,2401135,0.002991914749145508
06UncorrelatedWithSimilarWeights,n00050,R01000,s016.kp,17384,2401073,0.021942853927612305
06UncorrelatedWithSimilarWeights,n00050,R01000,s017.kp,20473,2401124,0.00997161865234375
06UncorrelatedWithSimilarWeights,n00050,R01000,s018.kp,17242,2401332,0.03641653060913086
06UncorrelatedWithSimilarWeights,n00050,R01000,s019.kp,16657,2401270,0.013960838317871094
06UncorrelatedWithSimilarWeights,n00050,R01000,s020.kp,17645,2401077,0.0029921531677246094
06UncorrelatedWithSimilarWeights,n00050,R01000,s021.kp,18144,2401260,0.011967897415161133
