class,n,R,s,totalValue,totalWeight,processingTime
06UncorrelatedWithSimilarWeights,n00050,R01000,s000.kp,19676,2401482,0.5540423393249512
06UncorrelatedWithSimilarWeights,n00050,R01000,s001.kp,17920,2401186,0.6526782512664795
06UncorrelatedWithSimilarWeights,n00050,R01000,s002.kp,19477,2401507,0.5518133640289307
06UncorrelatedWithSimilarWeights,n00050,R01000,s003.kp,18611,2401535,0.415036678314209
06UncorrelatedWithSimilarWeights,n00050,R01000,s004.kp,18362,2401047,0.4787282943725586
06UncorrelatedWithSimilarWeights,n00050,R01000,s005.kp,19503,2401442,0.4471163749694824
06UncorrelatedWithSimilarWeights,n00050,R01000,s006.kp,18586,2401241,0.5020103454589844
06UncorrelatedWithSimilarWeights,n00050,R01000,s007.kp,15882,2401330,0.5921177864074707
06UncorrelatedWithSimilarWeights,n00050,R01000,s008.kp,18044,2401047,0.42652249336242676
06UncorrelatedWithSimilarWeights,n00050,R01000,s009.kp,16781,2401092,0.40778374671936035
06UncorrelatedWithSimilarWeights,n00050,R01000,s010.kp,18368,2401031,0.3674583435058594
06UncorrelatedWithSimilarWeights,n00050,R01000,s011.kp,18378,2401152,0.38340163230895996
06UncorrelatedWithSimilarWeights,n00050,R01000,s012.kp,17809,2401188,0.36997389793395996
06UncorrelatedWithSimilarWeights,n00050,R01000,s013.kp,18188,2401151,0.568244218826294
06UncorrelatedWithSimilarWeights,n00050,R01000,s014.kp,17729,2401156,0.5508885383605957
06UncorrelatedWithSimilarWeights,n00050,R01000,s015.kp,19871,2401135,0.443544864654541
06UncorrelatedWithSimilarWeights,n00050,R01000,s016.kp,17384,2401073,0.6004190444946289
06UncorrelatedWithSimilarWeights,n00050,R01000,s017.kp,20473,2401124,0.48674511909484863
06UncorrelatedWithSimilarWeights,n00050,R01000,s018.kp,17242,2401332,0.5060629844665527
06UncorrelatedWithSimilarWeights,n00050,R01000,s019.kp,16657,2401270,0.441234827041626
06UncorrelatedWithSimilarWeights,n00050,R01000,s020.kp,17645,2401077,0.4171717166900635
06UncorrelatedWithSimilarWeights,n00050,R01000,s021.kp,18144,2401260,0.4919157028198242
06UncorrelatedWithSimilarWeights,n00050,R01000,s022.kp,20160,2401296,0.4924776554107666
06UncorrelatedWithSimilarWeights,n00050,R01000,s023.kp,16561,2401364,0.5786499977111816
06UncorrelatedWithSimilarWeights,n00050,R01000,s024.kp,20145,2401192,0.48810482025146484
06UncorrelatedWithSimilarWeights,n00050,R01000,s025.kp,16927,2401120,0.5698826313018799
06UncorrelatedWithSimilarWeights,n00050,R01000,s026.kp,19538,2401027,0.4187734127044678
06UncorrelatedWithSimilarWeights,n00050,R01000,s027.kp,19283,2401166,0.4570605754852295
06UncorrelatedWithSimilarWeights,n00050,R01000,s028.kp,16604,2401284,0.4475414752960205
06UncorrelatedWithSimilarWeights,n00050,R01000,s029.kp,16647,2401105,0.4404900074005127
06UncorrelatedWithSimilarWeights,n00050,R01000,s030.kp,18963,2401323,0.533275842666626
06UncorrelatedWithSimilarWeights,n00050,R01000,s031.kp,17797,2401193,0.5357677936553955
