class,n,R,s,totalValue,totalWeight,processingTime
00Uncorrelated,n00050,R01000,s000.kp,20995,14721,0.008743524551391602
00Uncorrelated,n00050,R01000,s001.kp,19836,13585,0.008013486862182617
00Uncorrelated,n00050,R01000,s002.kp,20561,13767,0.007020711898803711
00Uncorrelated,n00050,R01000,s003.kp,19789,13568,0.007531404495239258
00Uncorrelated,n00050,R01000,s004.kp,20961,11616,0.007472515106201172
00Uncorrelated,n00050,R01000,s005.kp,19780,11921,0.007477283477783203
00Uncorrelated,n00050,R01000,s006.kp,21334,12015,0.010917186737060547
00Uncorrelated,n00050,R01000,s007.kp,16763,12820,0.007488727569580078
00Uncorrelated,n00050,R01000,s008.kp,19399,10954,0.009518623352050781
00Uncorrelated,n00050,R01000,s009.kp,18331,11457,0.007612705230712891
00Uncorrelated,n00050,R01000,s010.kp,20167,11420,0.007557392120361328
00Uncorrelated,n00050,R01000,s011.kp,20361,10695,0.00749516487121582
00Uncorrelated,n00050,R01000,s012.kp,18751,11126,0.007976531982421875
00Uncorrelated,n00050,R01000,s013.kp,20056,11760,0.010529756546020508
00Uncorrelated,n00050,R01000,s014.kp,19031,10634,0.006489753723144531
00Uncorrelated,n00050,R01000,s015.kp,22377,12218,0.007982730865478516
00Uncorrelated,n00050,R01000,s016.kp,19232,10474,0.007557868957519531
00Uncorrelated,n00050,R01000,s017.kp,22989,12530,0.007507801055908203
00Uncorrelated,n00050,R01000,s018.kp,19043,12340,0.009027957916259766
00Uncorrelated,n00050,R01000,s019.kp,18181,11085,0.007454872131347656
00Uncorrelated,n00050,R01000,s020.kp,18971,10295,0.006983041763305664
00Uncorrelated,n00050,R01000,s021.kp,19729,13367,0.008481025695800781
00Uncorrelated,n00050,R01000,s022.kp,22275,13425,0.0075397491455078125
00Uncorrelated,n00050,R01000,s023.kp,18428,13692,0.007551670074462891
00Uncorrelated,n00050,R01000,s024.kp,22133,12661,0.00748896598815918
00Uncorrelated,n00050,R01000,s025.kp,19038,11827,0.0079803466796875
00Uncorrelated,n00050,R01000,s026.kp,22137,11017,0.007900476455688477
00Uncorrelated,n00050,R01000,s027.kp,21482,11504,0.007487297058105469
00Uncorrelated,n00050,R01000,s028.kp,17374,11784,0.007534027099609375
00Uncorrelated,n00050,R01000,s029.kp,19451,12935,0.007488727569580078
00Uncorrelated,n00050,R01000,s030.kp,20160,12766,0.008009910583496094
00Uncorrelated,n00050,R01000,s031.kp,19729,13398,0.008481025695800781
00Uncorrelated,n00050,R01000,s032.kp,19653,12064,0.00850534439086914
00Uncorrelated,n00050,R01000,s033.kp,19915,10843,0.007488727569580078
00Uncorrelated,n00050,R01000,s034.kp,21003,12836,0.011527299880981445
00Uncorrelated,n00050,R01000,s035.kp,21180,11871,0.006994962692260742
00Uncorrelated,n00050,R01000,s036.kp,21892,10774,0.0074748992919921875
00Uncorrelated,n00050,R01000,s037.kp,20563,11491,0.012148618698120117
00Uncorrelated,n00050,R01000,s038.kp,17682,11802,0.008046150207519531
00Uncorrelated,n00050,R01000,s039.kp,19603,11361,0.008552074432373047
00Uncorrelated,n00050,R01000,s040.kp,21368,12111,0.007491350173950195
00Uncorrelated,n00050,R01000,s041.kp,19743,12771,0.008528947830200195
00Uncorrelated,n00050,R01000,s042.kp,18874,12538,0.008489608764648438
00Uncorrelated,n00050,R01000,s043.kp,20800,13416,0.010506153106689453
00Uncorrelated,n00050,R01000,s044.kp,18337,11362,0.00910043716430664
00Uncorrelated,n00050,R01000,s045.kp,20707,11761,0.008487939834594727
00Uncorrelated,n00050,R01000,s046.kp,19600,10928,0.009485006332397461
00Uncorrelated,n00050,R01000,s047.kp,19269,12608,0.007517099380493164
00Uncorrelated,n00050,R01000,s048.kp,17132,12857,0.008487939834594727
00Uncorrelated,n00050,R01000,s049.kp,18105,13091,0.009508848190307617
00Uncorrelated,n00050,R01000,s050.kp,22274,10358,0.00803518295288086
