class,n,R,s,totalValue,totalWeight,processingTime
01WeaklyCorrelated,n00050,R01000,s000.kp,15768,14239,0.009029865264892578
01WeaklyCorrelated,n00050,R01000,s001.kp,13214,11791,0.007311105728149414
01WeaklyCorrelated,n00050,R01000,s002.kp,15065,13569,0.006575107574462891
01WeaklyCorrelated,n00050,R01000,s003.kp,14805,13206,0.006334781646728516
01WeaklyCorrelated,n00050,R01000,s004.kp,13349,12258,0.007233142852783203
01WeaklyCorrelated,n00050,R01000,s005.kp,14125,12715,0.0074901580810546875
01WeaklyCorrelated,n00050,R01000,s006.kp,14539,13306,0.006506443023681641
01WeaklyCorrelated,n00050,R01000,s007.kp,11884,10472,0.008001327514648438
01WeaklyCorrelated,n00050,R01000,s008.kp,12736,11818,0.0074901580810546875
01WeaklyCorrelated,n00050,R01000,s009.kp,11991,10836,0.006021022796630859
01WeaklyCorrelated,n00050,R01000,s010.kp,13357,12497,0.007048606872558594
01WeaklyCorrelated,n00050,R01000,s011.kp,13679,12656,0.007794380187988281
01WeaklyCorrelated,n00050,R01000,s012.kp,12655,11629,0.0072481632232666016
01WeaklyCorrelated,n00050,R01000,s013.kp,13615,12539,0.007493257522583008
01WeaklyCorrelated,n00050,R01000,s014.kp,12641,11819,0.0070226192474365234
01WeaklyCorrelated,n00050,R01000,s015.kp,14308,13084,0.0072519779205322266
01WeaklyCorrelated,n00050,R01000,s016.kp,12900,11928,0.008481979370117188
01WeaklyCorrelated,n00050,R01000,s017.kp,15372,14064,0.007550239562988281
01WeaklyCorrelated,n00050,R01000,s018.kp,13312,12115,0.007524251937866211
01WeaklyCorrelated,n00050,R01000,s019.kp,12571,11499,0.007390022277832031
01WeaklyCorrelated,n00050,R01000,s020.kp,12590,11666,0.006983041763305664
01WeaklyCorrelated,n00050,R01000,s021.kp,13539,12054,0.007945060729980469
01WeaklyCorrelated,n00050,R01000,s022.kp,15314,13994,0.007517337799072266
01WeaklyCorrelated,n00050,R01000,s023.kp,12937,11216,0.0075795650482177734
01WeaklyCorrelated,n00050,R01000,s024.kp,14916,13773,0.007580280303955078
01WeaklyCorrelated,n00050,R01000,s025.kp,12446,11385,0.007616758346557617
01WeaklyCorrelated,n00050,R01000,s026.kp,14091,12969,0.007455348968505859
01WeaklyCorrelated,n00050,R01000,s027.kp,14283,13267,0.008025407791137695
01WeaklyCorrelated,n00050,R01000,s028.kp,11618,10569,0.0074923038482666016
01WeaklyCorrelated,n00050,R01000,s029.kp,13730,12078,0.007470607757568359
01WeaklyCorrelated,n00050,R01000,s030.kp,14273,13128,0.006493806838989258
01WeaklyCorrelated,n00050,R01000,s031.kp,13153,11500,0.00983881950378418
01WeaklyCorrelated,n00050,R01000,s032.kp,12714,11302,0.007980108261108398
01WeaklyCorrelated,n00050,R01000,s033.kp,12934,12103,0.008544445037841797
01WeaklyCorrelated,n00050,R01000,s034.kp,14658,13286,0.006936788558959961
01WeaklyCorrelated,n00050,R01000,s035.kp,14191,12955,0.008498191833496094
01WeaklyCorrelated,n00050,R01000,s036.kp,14831,13939,0.007521152496337891
01WeaklyCorrelated,n00050,R01000,s037.kp,13777,12692,0.0069849491119384766
01WeaklyCorrelated,n00050,R01000,s038.kp,12391,11237,0.006993532180786133
01WeaklyCorrelated,n00050,R01000,s039.kp,13183,12027,0.006574869155883789
01WeaklyCorrelated,n00050,R01000,s040.kp,13514,12219,0.00762486457824707
01WeaklyCorrelated,n00050,R01000,s041.kp,13707,12334,0.0081634521484375
01WeaklyCorrelated,n00050,R01000,s042.kp,12577,11166,0.007625102996826172
01WeaklyCorrelated,n00050,R01000,s043.kp,14460,12824,0.00698542594909668
01WeaklyCorrelated,n00050,R01000,s044.kp,12354,11253,0.0074920654296875
01WeaklyCorrelated,n00050,R01000,s045.kp,13129,11983,0.006486654281616211
01WeaklyCorrelated,n00050,R01000,s046.kp,12364,11382,0.006501913070678711
01WeaklyCorrelated,n00050,R01000,s047.kp,13836,12452,0.00804591178894043
01WeaklyCorrelated,n00050,R01000,s048.kp,11789,10449,0.008483648300170898
01WeaklyCorrelated,n00050,R01000,s049.kp,12973,11683,0.006947517395019531
01WeaklyCorrelated,n00050,R01000,s050.kp,15042,14243,0.00749659538269043
01WeaklyCorrelated,n00050,R01000,s051.kp,15830,14353,0.007515430450439453
01WeaklyCorrelated,n00050,R01000,s052.kp,12881,11394,0.008542537689208984
01WeaklyCorrelated,n00050,R01000,s053.kp,13019,11978,0.008289575576782227
01WeaklyCorrelated,n00050,R01000,s054.kp,13976,12589,0.00598454475402832
01WeaklyCorrelated,n00050,R01000,s055.kp,13152,12074,0.00750279426574707
01WeaklyCorrelated,n00050,R01000,s056.kp,12481,11179,0.007224082946777344
01WeaklyCorrelated,n00050,R01000,s057.kp,14109,12881,0.00733494758605957
01WeaklyCorrelated,n00050,R01000,s058.kp,13324,12022,0.007982254028320312
01WeaklyCorrelated,n00050,R01000,s059.kp,14755,13610,0.008745908737182617
01WeaklyCorrelated,n00050,R01000,s060.kp,12742,11397,0.00845956802368164
01WeaklyCorrelated,n00050,R01000,s061.kp,12361,11177,0.009123563766479492
01WeaklyCorrelated,n00050,R01000,s062.kp,13604,12306,0.006504058837890625
01WeaklyCorrelated,n00050,R01000,s063.kp,13883,12779,0.007193088531494141
01WeaklyCorrelated,n00050,R01000,s064.kp,12959,11448,0.008304357528686523
01WeaklyCorrelated,n00050,R01000,s065.kp,14199,12764,0.00798797607421875
01WeaklyCorrelated,n00050,R01000,s066.kp,13739,12522,0.009042024612426758
01WeaklyCorrelated,n00050,R01000,s067.kp,13211,11664,0.007502555847167969
01WeaklyCorrelated,n00050,R01000,s068.kp,14414,13075,0.007489681243896484
01WeaklyCorrelated,n00050,R01000,s069.kp,12878,11488,0.006983757019042969
01WeaklyCorrelated,n00050,R01000,s070.kp,14671,13386,0.008485794067382812
01WeaklyCorrelated,n00050,R01000,s071.kp,11541,10450,0.007506370544433594
01WeaklyCorrelated,n00050,R01000,s072.kp,13547,12104,0.007246494293212891
01WeaklyCorrelated,n00050,R01000,s073.kp,13030,11826,0.007488727569580078
01WeaklyCorrelated,n00050,R01000,s074.kp,14575,13278,0.009485483169555664
01WeaklyCorrelated,n00050,R01000,s075.kp,13292,11694,0.008307218551635742
01WeaklyCorrelated,n00050,R01000,s076.kp,14188,13246,0.00850677490234375
01WeaklyCorrelated,n00050,R01000,s077.kp,13656,12226,0.008004188537597656
01WeaklyCorrelated,n00050,R01000,s078.kp,13266,12048,0.008493900299072266
01WeaklyCorrelated,n00050,R01000,s079.kp,12147,10881,0.006966114044189453
01WeaklyCorrelated,n00050,R01000,s080.kp,12999,11630,0.007502317428588867
01WeaklyCorrelated,n00050,R01000,s081.kp,13806,12351,0.007193088531494141
01WeaklyCorrelated,n00050,R01000,s082.kp,13305,11953,0.007489442825317383
01WeaklyCorrelated,n00050,R01000,s083.kp,13146,12225,0.0074503421783447266
01WeaklyCorrelated,n00050,R01000,s084.kp,13326,11702,0.00651097297668457
01WeaklyCorrelated,n00050,R01000,s085.kp,13853,12597,0.0071353912353515625
01WeaklyCorrelated,n00050,R01000,s086.kp,13902,12568,0.008005380630493164
01WeaklyCorrelated,n00050,R01000,s087.kp,13403,12698,0.009054422378540039
01WeaklyCorrelated,n00050,R01000,s088.kp,13461,12024,0.008489131927490234
01WeaklyCorrelated,n00050,R01000,s089.kp,14534,13181,0.011781930923461914
01WeaklyCorrelated,n00050,R01000,s090.kp,13809,12338,0.008512496948242188
01WeaklyCorrelated,n00050,R01000,s091.kp,14905,13447,0.009485244750976562
01WeaklyCorrelated,n00050,R01000,s092.kp,15505,13830,0.012216567993164062
01WeaklyCorrelated,n00050,R01000,s093.kp,13798,12451,0.01091623306274414
01WeaklyCorrelated,n00050,R01000,s094.kp,13175,11885,0.009485721588134766
01WeaklyCorrelated,n00050,R01000,s095.kp,12813,11432,0.010961532592773438
01WeaklyCorrelated,n00050,R01000,s096.kp,13999,12843,0.00948643684387207
01WeaklyCorrelated,n00050,R01000,s097.kp,12944,11518,0.006980419158935547
01WeaklyCorrelated,n00050,R01000,s098.kp,14076,12614,0.007495403289794922
01WeaklyCorrelated,n00050,R01000,s099.kp,13706,12782,0.007729768753051758
01WeaklyCorrelated,n00050,R10000,s000.kp,157504,142272,0.023852109909057617
01WeaklyCorrelated,n00050,R10000,s001.kp,131925,117805,0.02046370506286621
01WeaklyCorrelated,n00050,R10000,s002.kp,150517,135598,0.02309560775756836
01WeaklyCorrelated,n00050,R10000,s003.kp,147878,131960,0.022052288055419922
01WeaklyCorrelated,n00050,R10000,s004.kp,133350,122484,0.020986318588256836
01WeaklyCorrelated,n00050,R10000,s005.kp,141108,127041,0.021500587463378906
