class,n,R,s,totalValue,totalWeight,processingTime
03InverseStronglyCorrelated,n00050,R01000,s000.kp,14914,16714,0.04659295082092285
03InverseStronglyCorrelated,n00050,R01000,s001.kp,12691,14191,0.006982326507568359
03InverseStronglyCorrelated,n00050,R01000,s002.kp,14346,16046,0.007979869842529297
03InverseStronglyCorrelated,n00050,R01000,s003.kp,13990,15690,0.006985902786254883
03InverseStronglyCorrelated,n00050,R01000,s004.kp,13138,14738,0.007980585098266602
03InverseStronglyCorrelated,n00050,R01000,s005.kp,13594,15194,0.008011817932128906
03InverseStronglyCorrelated,n00050,R01000,s006.kp,14016,15716,0.007980585098266602
03InverseStronglyCorrelated,n00050,R01000,s007.kp,11351,12951,0.006947994232177734
03InverseStronglyCorrelated,n00050,R01000,s008.kp,12797,14297,0.007946491241455078
03InverseStronglyCorrelated,n00050,R01000,s009.kp,11811,13311,0.006983280181884766
03InverseStronglyCorrelated,n00050,R01000,s010.kp,13374,14974,0.006941556930541992
03InverseStronglyCorrelated,n00050,R01000,s011.kp,13533,15133,0.006983041763305664
03InverseStronglyCorrelated,n00050,R01000,s012.kp,12506,14106,0.006981611251831055
03InverseStronglyCorrelated,n00050,R01000,s013.kp,13322,15022,0.007982492446899414
03InverseStronglyCorrelated,n00050,R01000,s014.kp,12699,14299,0.007490396499633789
03InverseStronglyCorrelated,n00050,R01000,s015.kp,13964,15564,0.007976770401000977
03InverseStronglyCorrelated,n00050,R01000,s016.kp,12804,14404,0.0070095062255859375
03InverseStronglyCorrelated,n00050,R01000,s017.kp,14846,16546,0.00794672966003418
03InverseStronglyCorrelated,n00050,R01000,s018.kp,12898,14598,0.0070133209228515625
03InverseStronglyCorrelated,n00050,R01000,s019.kp,12377,13977,0.007010459899902344
03InverseStronglyCorrelated,n00050,R01000,s020.kp,12552,14152,0.006977558135986328
03InverseStronglyCorrelated,n00050,R01000,s021.kp,12942,14542,0.007946252822875977
03InverseStronglyCorrelated,n00050,R01000,s022.kp,14782,16482,0.006979227066040039
03InverseStronglyCorrelated,n00050,R01000,s023.kp,12113,13713,0.007017612457275391
03InverseStronglyCorrelated,n00050,R01000,s024.kp,14554,16254,0.007020711898803711
03InverseStronglyCorrelated,n00050,R01000,s025.kp,12260,13860,0.006018161773681641
03InverseStronglyCorrelated,n00050,R01000,s026.kp,13846,15446,0.007977008819580078
03InverseStronglyCorrelated,n00050,R01000,s027.kp,14050,15750,0.010006427764892578
03InverseStronglyCorrelated,n00050,R01000,s028.kp,11610,13010,0.007978200912475586
03InverseStronglyCorrelated,n00050,R01000,s029.kp,12873,14573,0.006982088088989258
03InverseStronglyCorrelated,n00050,R01000,s030.kp,13905,15605,0.007980585098266602
03InverseStronglyCorrelated,n00050,R01000,s031.kp,12490,13990,0.00656580924987793
03InverseStronglyCorrelated,n00050,R01000,s032.kp,12300,13800,0.007978200912475586
03InverseStronglyCorrelated,n00050,R01000,s033.kp,12984,14584,0.00701594352722168
03InverseStronglyCorrelated,n00050,R01000,s034.kp,14073,15773,0.006994485855102539
03InverseStronglyCorrelated,n00050,R01000,s035.kp,13750,15450,0.007979869842529297
03InverseStronglyCorrelated,n00050,R01000,s036.kp,14721,16421,0.008015632629394531
03InverseStronglyCorrelated,n00050,R01000,s037.kp,13480,15180,0.008011817932128906
03InverseStronglyCorrelated,n00050,R01000,s038.kp,12057,13657,0.006982564926147461
03InverseStronglyCorrelated,n00050,R01000,s039.kp,12907,14507,0.007946968078613281
03InverseStronglyCorrelated,n00050,R01000,s040.kp,13178,14678,0.00897836685180664
