class,n,R,s,totalValue,totalWeight,processingTime
02StronglyCorrelated,n00050,R01000,s000.kp,17539,14239,0.008976936340332031
02StronglyCorrelated,n00050,R01000,s001.kp,15293,11793,0.00794672966003418
02StronglyCorrelated,n00050,R01000,s002.kp,16970,13570,0.0069844722747802734
02StronglyCorrelated,n00050,R01000,s003.kp,16614,13214,0.0069806575775146484
02StronglyCorrelated,n00050,R01000,s004.kp,15763,12263,0.006562471389770508
02StronglyCorrelated,n00050,R01000,s005.kp,16219,12719,0.00701451301574707
02StronglyCorrelated,n00050,R01000,s006.kp,16627,13327,0.00701451301574707
02StronglyCorrelated,n00050,R01000,s007.kp,14061,10461,0.00698542594909668
02StronglyCorrelated,n00050,R01000,s008.kp,15419,11819,0.006980419158935547
02StronglyCorrelated,n00050,R01000,s009.kp,14436,10836,0.005983829498291016
02StronglyCorrelated,n00050,R01000,s010.kp,15999,12499,0.00694727897644043
02StronglyCorrelated,n00050,R01000,s011.kp,16156,12656,0.006948947906494141
02StronglyCorrelated,n00050,R01000,s012.kp,15131,11631,0.0069849491119384766
02StronglyCorrelated,n00050,R01000,s013.kp,15947,12547,0.007494926452636719
02StronglyCorrelated,n00050,R01000,s014.kp,15324,11824,0.006981372833251953
02StronglyCorrelated,n00050,R01000,s015.kp,16589,13089,0.008011102676391602
02StronglyCorrelated,n00050,R01000,s016.kp,15429,11929,0.007014751434326172
02StronglyCorrelated,n00050,R01000,s017.kp,17471,14071,0.006980419158935547
02StronglyCorrelated,n00050,R01000,s018.kp,15522,12122,0.006983280181884766
02StronglyCorrelated,n00050,R01000,s019.kp,15008,11508,0.0069463253021240234
02StronglyCorrelated,n00050,R01000,s020.kp,15177,11677,0.006948947906494141
02StronglyCorrelated,n00050,R01000,s021.kp,15567,12067,0.0069484710693359375
02StronglyCorrelated,n00050,R01000,s022.kp,17406,14006,0.007452726364135742
02StronglyCorrelated,n00050,R01000,s023.kp,14738,11238,0.006981372833251953
02StronglyCorrelated,n00050,R01000,s024.kp,17179,13779,0.0069806575775146484
02StronglyCorrelated,n00050,R01000,s025.kp,14885,11385,0.005983829498291016
02StronglyCorrelated,n00050,R01000,s026.kp,16470,12970,0.0069811344146728516
02StronglyCorrelated,n00050,R01000,s027.kp,16675,13275,0.007015228271484375
02StronglyCorrelated,n00050,R01000,s028.kp,14277,10577,0.006016254425048828
02StronglyCorrelated,n00050,R01000,s029.kp,15498,12098,0.006017446517944336
02StronglyCorrelated,n00050,R01000,s030.kp,16530,13130,0.00598597526550293
02StronglyCorrelated,n00050,R01000,s031.kp,15115,11515,0.006589412689208984
02StronglyCorrelated,n00050,R01000,s032.kp,14925,11325,0.007980108261108398
02StronglyCorrelated,n00050,R01000,s033.kp,15609,12109,0.00701594352722168
02StronglyCorrelated,n00050,R01000,s034.kp,16696,13296,0.007014036178588867
02StronglyCorrelated,n00050,R01000,s035.kp,16374,12974,0.007014274597167969
02StronglyCorrelated,n00050,R01000,s036.kp,17346,13946,0.007978439331054688
02StronglyCorrelated,n00050,R01000,s037.kp,16105,12705,0.0069811344146728516
02StronglyCorrelated,n00050,R01000,s038.kp,14643,11243,0.0069828033447265625
02StronglyCorrelated,n00050,R01000,s039.kp,15531,12031,0.006981849670410156
02StronglyCorrelated,n00050,R01000,s040.kp,15818,12218,0.006979703903198242
02StronglyCorrelated,n00050,R01000,s041.kp,15741,12341,0.006983280181884766
02StronglyCorrelated,n00050,R01000,s042.kp,14667,11167,0.00695347785949707
02StronglyCorrelated,n00050,R01000,s043.kp,16228,12828,0.007978200912475586
02StronglyCorrelated,n00050,R01000,s044.kp,14848,11248,0.005984067916870117
02StronglyCorrelated,n00050,R01000,s045.kp,15493,11993,0.006981849670410156
02StronglyCorrelated,n00050,R01000,s046.kp,14982,11382,0.006982326507568359
02StronglyCorrelated,n00050,R01000,s047.kp,15852,12452,0.007984399795532227
02StronglyCorrelated,n00050,R01000,s048.kp,14071,10471,0.007488727569580078
02StronglyCorrelated,n00050,R01000,s049.kp,15094,11694,0.007977962493896484
02StronglyCorrelated,n00050,R01000,s050.kp,17552,14252,0.007979869842529297
02StronglyCorrelated,n00050,R01000,s051.kp,17661,14361,0.00897669792175293
02StronglyCorrelated,n00050,R01000,s052.kp,14999,11399,0.007978677749633789
02StronglyCorrelated,n00050,R01000,s053.kp,15479,11979,0.014960289001464844
02StronglyCorrelated,n00050,R01000,s054.kp,16109,12609,0.00800776481628418
02StronglyCorrelated,n00050,R01000,s055.kp,15487,12087,0.008481502532958984
02StronglyCorrelated,n00050,R01000,s056.kp,14705,11205,0.006980419158935547
02StronglyCorrelated,n00050,R01000,s057.kp,16289,12889,0.006981849670410156
02StronglyCorrelated,n00050,R01000,s058.kp,15425,12025,0.006979227066040039
02StronglyCorrelated,n00050,R01000,s059.kp,17018,13618,0.0069806575775146484
02StronglyCorrelated,n00050,R01000,s060.kp,14899,11399,0.008973836898803711
02StronglyCorrelated,n00050,R01000,s061.kp,14681,11181,0.007978439331054688
02StronglyCorrelated,n00050,R01000,s062.kp,15841,12341,0.006983757019042969
02StronglyCorrelated,n00050,R01000,s063.kp,16275,12775,0.007979393005371094
02StronglyCorrelated,n00050,R01000,s064.kp,14949,11449,0.0069828033447265625
02StronglyCorrelated,n00050,R01000,s065.kp,16168,12768,0.0069811344146728516
02StronglyCorrelated,n00050,R01000,s066.kp,16022,12522,0.006981849670410156
02StronglyCorrelated,n00050,R01000,s067.kp,15268,11668,0.006982088088989258
02StronglyCorrelated,n00050,R01000,s068.kp,16477,13077,0.0069806575775146484
02StronglyCorrelated,n00050,R01000,s069.kp,14989,11489,0.006981611251831055
02StronglyCorrelated,n00050,R01000,s070.kp,16791,13391,0.00698089599609375
02StronglyCorrelated,n00050,R01000,s071.kp,14153,10453,0.0069828033447265625
02StronglyCorrelated,n00050,R01000,s072.kp,15607,12107,0.007454395294189453
02StronglyCorrelated,n00050,R01000,s073.kp,15336,11836,0.006982326507568359
02StronglyCorrelated,n00050,R01000,s074.kp,16685,13285,0.0069811344146728516
02StronglyCorrelated,n00050,R01000,s075.kp,15196,11696,0.00698089599609375
02StronglyCorrelated,n00050,R01000,s076.kp,16650,13250,0.007976055145263672
02StronglyCorrelated,n00050,R01000,s077.kp,15726,12226,0.006983280181884766
02StronglyCorrelated,n00050,R01000,s078.kp,15566,12066,0.00698089599609375
02StronglyCorrelated,n00050,R01000,s079.kp,14582,10882,0.0069806575775146484
02StronglyCorrelated,n00050,R01000,s080.kp,15233,11633,0.008975744247436523
02StronglyCorrelated,n00050,R01000,s081.kp,15850,12350,0.007414817810058594
02StronglyCorrelated,n00050,R01000,s082.kp,15564,11964,0.007979869842529297
02StronglyCorrelated,n00050,R01000,s083.kp,15634,12234,0.007008552551269531
02StronglyCorrelated,n00050,R01000,s084.kp,15205,11705,0.005982637405395508
02StronglyCorrelated,n00050,R01000,s085.kp,16006,12606,0.0070078372955322266
02StronglyCorrelated,n00050,R01000,s086.kp,15968,12568,0.006980180740356445
02StronglyCorrelated,n00050,R01000,s087.kp,16201,12701,0.013962984085083008
02StronglyCorrelated,n00050,R01000,s088.kp,15626,12026,0.012965679168701172
02StronglyCorrelated,n00050,R01000,s089.kp,16708,13208,0.010972261428833008
02StronglyCorrelated,n00050,R01000,s090.kp,15839,12339,0.011967897415161133
02StronglyCorrelated,n00050,R01000,s091.kp,16849,13449,0.011967897415161133
02StronglyCorrelated,n00050,R01000,s092.kp,17132,13832,0.007977962493896484
02StronglyCorrelated,n00050,R01000,s093.kp,15951,12451,0.008977651596069336
02StronglyCorrelated,n00050,R01000,s094.kp,15486,11886,0.00997161865234375
02StronglyCorrelated,n00050,R01000,s095.kp,14945,11445,0.0069811344146728516
02StronglyCorrelated,n00050,R01000,s096.kp,16343,12843,0.00698542594909668
02StronglyCorrelated,n00050,R01000,s097.kp,15121,11521,0.007979393005371094
02StronglyCorrelated,n00050,R01000,s098.kp,16033,12633,0.006984710693359375
02StronglyCorrelated,n00050,R01000,s099.kp,16286,12786,0.006979227066040039
02StronglyCorrelated,n00050,R10000,s000.kp,175283,142283,0.021959781646728516
02StronglyCorrelated,n00050,R10000,s001.kp,152821,117821,0.021940231323242188
02StronglyCorrelated,n00050,R10000,s002.kp,169607,135607,0.021940231323242188
02StronglyCorrelated,n00050,R10000,s003.kp,166028,132028,0.020453214645385742
02StronglyCorrelated,n00050,R10000,s004.kp,157529,122529,0.018982410430908203
02StronglyCorrelated,n00050,R10000,s005.kp,162092,127092,0.019044876098632812
02StronglyCorrelated,n00050,R10000,s006.kp,166163,133163,0.02191329002380371
02StronglyCorrelated,n00050,R10000,s007.kp,140478,104478,0.01895284652709961
02StronglyCorrelated,n00050,R10000,s008.kp,154094,118094,0.02293682098388672
02StronglyCorrelated,n00050,R10000,s009.kp,144240,108240,0.01894664764404297
02StronglyCorrelated,n00050,R10000,s010.kp,159887,124887,0.019946813583374023
02StronglyCorrelated,n00050,R10000,s011.kp,161437,126437,0.021459579467773438
02StronglyCorrelated,n00050,R10000,s012.kp,151210,116210,0.018949270248413086
02StronglyCorrelated,n00050,R10000,s013.kp,159363,125363,0.0209805965423584
02StronglyCorrelated,n00050,R10000,s014.kp,153127,118127,0.04492902755737305
02StronglyCorrelated,n00050,R10000,s015.kp,165780,130780,0.02090764045715332
02StronglyCorrelated,n00050,R10000,s016.kp,154182,119182,0.019914627075195312
02StronglyCorrelated,n00050,R10000,s017.kp,174602,140602,0.02194070816040039
02StronglyCorrelated,n00050,R10000,s018.kp,155126,121126,0.01795339584350586
02StronglyCorrelated,n00050,R10000,s019.kp,149977,114977,0.017950057983398438
02StronglyCorrelated,n00050,R10000,s020.kp,151674,116674,0.018949031829833984
02StronglyCorrelated,n00050,R10000,s021.kp,155575,120575,0.019985198974609375
02StronglyCorrelated,n00050,R10000,s022.kp,173947,139947,0.020946741104125977
02StronglyCorrelated,n00050,R10000,s023.kp,147283,112283,0.016955137252807617
02StronglyCorrelated,n00050,R10000,s024.kp,171686,137686,0.020945072174072266
02StronglyCorrelated,n00050,R10000,s025.kp,148745,113745,0.019946813583374023
02StronglyCorrelated,n00050,R10000,s026.kp,164604,129604,0.02290797233581543
02StronglyCorrelated,n00050,R10000,s027.kp,166640,132640,0.022017717361450195
02StronglyCorrelated,n00050,R10000,s028.kp,142648,105648,0.017919540405273438
02StronglyCorrelated,n00050,R10000,s029.kp,154869,120869,0.020944595336914062
02StronglyCorrelated,n00050,R10000,s030.kp,165186,131186,0.025448083877563477
02StronglyCorrelated,n00050,R10000,s031.kp,151048,115048,0.02692699432373047
02StronglyCorrelated,n00050,R10000,s032.kp,149144,113144,0.02194070816040039
02StronglyCorrelated,n00050,R10000,s033.kp,155976,120976,0.028925657272338867
02StronglyCorrelated,n00050,R10000,s034.kp,166847,132847,0.0703270435333252
02StronglyCorrelated,n00050,R10000,s035.kp,163632,129632,0.02944159507751465
02StronglyCorrelated,n00050,R10000,s036.kp,173346,139346,0.02094244956970215
02StronglyCorrelated,n00050,R10000,s037.kp,160943,126943,0.01994776725769043
02StronglyCorrelated,n00050,R10000,s038.kp,146326,112326,0.020945072174072266
02StronglyCorrelated,n00050,R10000,s039.kp,155241,120241,0.019422292709350586
02StronglyCorrelated,n00050,R10000,s040.kp,158089,122089,0.020943880081176758
02StronglyCorrelated,n00050,R10000,s041.kp,157295,123295,0.020941495895385742
02StronglyCorrelated,n00050,R10000,s042.kp,146568,111568,0.01894831657409668
02StronglyCorrelated,n00050,R10000,s043.kp,162174,128174,0.020982742309570312
02StronglyCorrelated,n00050,R10000,s044.kp,148418,112418,0.02094411849975586
02StronglyCorrelated,n00050,R10000,s045.kp,154828,119828,0.01795196533203125
02StronglyCorrelated,n00050,R10000,s046.kp,149723,113723,0.023936748504638672
