class,n,R,s,totalValue,totalWeight,processingTime
07SpannerUncorrelated,n00050,R01000,s000.kp,13472,4569,0.009265422821044922
07SpannerUncorrelated,n00050,R01000,s001.kp,11948,6578,0.007016658782958984
07SpannerUncorrelated,n00050,R01000,s002.kp,15196,933,0.009784936904907227
07SpannerUncorrelated,n00050,R01000,s003.kp,6125,6750,0.008225679397583008
07SpannerUncorrelated,n00050,R01000,s004.kp,2238,3648,0.006489992141723633
07SpannerUncorrelated,n00050,R01000,s005.kp,7728,9808,0.008504152297973633
07SpannerUncorrelated,n00050,R01000,s006.kp,12450,4475,0.008114099502563477
07SpannerUncorrelated,n00050,R01000,s007.kp,3154,4147,0.007544040679931641
07SpannerUncorrelated,n00050,R01000,s008.kp,6068,4048,0.007489442825317383
07SpannerUncorrelated,n00050,R01000,s009.kp,7606,4290,0.005518674850463867
07SpannerUncorrelated,n00050,R01000,s010.kp,7631,5258,0.009038925170898438
07SpannerUncorrelated,n00050,R01000,s011.kp,7494,7980,0.007536172866821289
07SpannerUncorrelated,n00050,R01000,s012.kp,8649,3472,0.008040904998779297
07SpannerUncorrelated,n00050,R01000,s013.kp,6657,8301,0.00796198844909668
07SpannerUncorrelated,n00050,R01000,s014.kp,6129,9019,0.007491111755371094
07SpannerUncorrelated,n00050,R01000,s015.kp,9050,6892,0.008486270904541016
07SpannerUncorrelated,n00050,R01000,s016.kp,5028,4764,0.007976531982421875
07SpannerUncorrelated,n00050,R01000,s017.kp,12283,7677,0.009509801864624023
07SpannerUncorrelated,n00050,R01000,s018.kp,8528,3138,0.005493879318237305
07SpannerUncorrelated,n00050,R01000,s019.kp,8480,5524,0.008977890014648438
07SpannerUncorrelated,n00050,R01000,s020.kp,10660,8970,0.009720802307128906
07SpannerUncorrelated,n00050,R01000,s021.kp,8901,7245,0.007210969924926758
07SpannerUncorrelated,n00050,R01000,s022.kp,13164,7660,0.009493350982666016
07SpannerUncorrelated,n00050,R01000,s023.kp,16802,6559,0.007560014724731445
