class,n,R,s,totalValue,totalWeight,processingTime
12Circle,n00050,R01000,s000.kp,300031,14239,0.008980035781860352
12Circle,n00050,R01000,s001.kp,248488,11793,0.009486675262451172
12Circle,n00050,R01000,s002.kp,285931,13570,0.006981611251831055
12Circle,n00050,R01000,s003.kp,278429,13214,0.007978200912475586
12Circle,n00050,R01000,s004.kp,258392,12263,0.006981372833251953
12Circle,n00050,R01000,s005.kp,268001,12719,0.006979703903198242
12Circle,n00050,R01000,s006.kp,280811,13327,0.007977008819580078
12Circle,n00050,R01000,s007.kp,220738,10476,0.007946014404296875
12Circle,n00050,R01000,s008.kp,249100,11822,0.008048057556152344
12Circle,n00050,R01000,s009.kp,228325,10836,0.006982326507568359
12Circle,n00050,R01000,s010.kp,263367,12499,0.007978200912475586
12Circle,n00050,R01000,s011.kp,266694,12657,0.00794839859008789
12Circle,n00050,R01000,s012.kp,245075,11631,0.007976293563842773
12Circle,n00050,R01000,s013.kp,264375,12547,0.007965326309204102
12Circle,n00050,R01000,s014.kp,249142,11824,0.007945060729980469
12Circle,n00050,R01000,s015.kp,275797,13089,0.007943391799926758
12Circle,n00050,R01000,s016.kp,251354,11929,0.007939338684082031
12Circle,n00050,R01000,s017.kp,296489,14071,0.007946014404296875
12Circle,n00050,R01000,s018.kp,255421,12122,0.0070154666900634766
12Circle,n00050,R01000,s019.kp,242526,11510,0.006981611251831055
12Circle,n00050,R01000,s020.kp,246043,11677,0.0069789886474609375
12Circle,n00050,R01000,s021.kp,254262,12067,0.006983041763305664
12Circle,n00050,R01000,s022.kp,295119,14006,0.007977962493896484
12Circle,n00050,R01000,s023.kp,236794,11238,0.006982564926147461
12Circle,n00050,R01000,s024.kp,290335,13779,0.010970592498779297
12Circle,n00050,R01000,s025.kp,239892,11385,0.0069811344146728516
12Circle,n00050,R01000,s026.kp,273312,12971,0.007982254028320312
12Circle,n00050,R01000,s027.kp,279717,13275,0.006981372833251953
12Circle,n00050,R01000,s028.kp,222867,10577,0.0069811344146728516
12Circle,n00050,R01000,s029.kp,254916,12098,0.007978677749633789
12Circle,n00050,R01000,s030.kp,276660,13130,0.007977008819580078
12Circle,n00050,R01000,s031.kp,242633,11515,0.007978677749633789
12Circle,n00050,R01000,s032.kp,238629,11325,0.007936954498291016
12Circle,n00050,R01000,s033.kp,255146,12109,0.006983518600463867
12Circle,n00050,R01000,s034.kp,280200,13298,0.0075609683990478516
12Circle,n00050,R01000,s035.kp,273373,12974,0.00698089599609375
12Circle,n00050,R01000,s036.kp,293856,13946,0.006979465484619141
12Circle,n00050,R01000,s037.kp,267705,12705,0.006979942321777344
12Circle,n00050,R01000,s038.kp,236897,11243,0.007975101470947266
12Circle,n00050,R01000,s039.kp,253589,12035,0.0069811344146728516
12Circle,n00050,R01000,s040.kp,257464,12219,0.007980108261108398
12Circle,n00050,R01000,s041.kp,260036,12341,0.010972738265991211
12Circle,n00050,R01000,s042.kp,235299,11167,0.00761866569519043
12Circle,n00050,R01000,s043.kp,270298,12828,0.00794529914855957
12Circle,n00050,R01000,s044.kp,237132,11254,0.00794219970703125
12Circle,n00050,R01000,s045.kp,252702,11993,0.006983280181884766
12Circle,n00050,R01000,s046.kp,239829,11382,0.00797891616821289
12Circle,n00050,R01000,s047.kp,262376,12452,0.007980108261108398
12Circle,n00050,R01000,s048.kp,220632,10471,0.00897669792175293
12Circle,n00050,R01000,s049.kp,246403,11694,0.010973453521728516
12Circle,n00050,R01000,s050.kp,300301,14252,0.009489774703979492
12Circle,n00050,R01000,s051.kp,302601,14361,0.010970115661621094
12Circle,n00050,R01000,s052.kp,240185,11399,0.009972572326660156
12Circle,n00050,R01000,s053.kp,252409,11979,0.00997304916381836
12Circle,n00050,R01000,s054.kp,265684,12609,0.010971546173095703
12Circle,n00050,R01000,s055.kp,254683,12087,0.008980035781860352
12Circle,n00050,R01000,s056.kp,236097,11205,0.009493827819824219
12Circle,n00050,R01000,s057.kp,271584,12889,0.008973360061645508
12Circle,n00050,R01000,s058.kp,253377,12025,0.007981300354003906
12Circle,n00050,R01000,s059.kp,286943,13618,0.007976293563842773
12Circle,n00050,R01000,s060.kp,240187,11399,0.010972261428833008
12Circle,n00050,R01000,s061.kp,235592,11181,0.010972261428833008
12Circle,n00050,R01000,s062.kp,260037,12341,0.009975910186767578
12Circle,n00050,R01000,s063.kp,269309,12781,0.007491350173950195
12Circle,n00050,R01000,s064.kp,241241,11449,0.008975982666015625
12Circle,n00050,R01000,s065.kp,269033,12768,0.006982326507568359
12Circle,n00050,R01000,s066.kp,263892,12524,0.007946491241455078
12Circle,n00050,R01000,s067.kp,245855,11668,0.007014036178588867
12Circle,n00050,R01000,s068.kp,275545,13077,0.0069811344146728516
12Circle,n00050,R01000,s069.kp,242084,11489,0.010969877243041992
12Circle,n00050,R01000,s070.kp,282162,13391,0.008975744247436523
12Circle,n00050,R01000,s071.kp,220276,10454,0.006982088088989258
12Circle,n00050,R01000,s072.kp,255104,12107,0.006979942321777344
12Circle,n00050,R01000,s073.kp,249395,11836,0.006981372833251953
12Circle,n00050,R01000,s074.kp,279928,13285,0.006980419158935547
12Circle,n00050,R01000,s075.kp,246445,11696,0.00797891616821289
12Circle,n00050,R01000,s076.kp,279190,13250,0.008975028991699219
12Circle,n00050,R01000,s077.kp,257613,12226,0.008976459503173828
12Circle,n00050,R01000,s078.kp,254243,12066,0.009971857070922852
12Circle,n00050,R01000,s079.kp,229294,10882,0.007981538772583008
12Circle,n00050,R01000,s080.kp,245138,11634,0.008975505828857422
12Circle,n00050,R01000,s081.kp,260267,12352,0.007978200912475586
12Circle,n00050,R01000,s082.kp,252093,11964,0.012931346893310547
12Circle,n00050,R01000,s083.kp,257779,12234,0.01097559928894043
12Circle,n00050,R01000,s084.kp,246634,11705,0.01097416877746582
12Circle,n00050,R01000,s085.kp,265620,12606,0.01248311996459961
12Circle,n00050,R01000,s086.kp,264819,12568,0.011966705322265625
12Circle,n00050,R01000,s087.kp,267620,12701,0.011967897415161133
12Circle,n00050,R01000,s088.kp,253397,12026,0.010971546173095703
12Circle,n00050,R01000,s089.kp,278305,13208,0.00897526741027832
12Circle,n00050,R01000,s090.kp,259994,12339,0.007979869842529297
12Circle,n00050,R01000,s091.kp,283383,13449,0.0074923038482666016
12Circle,n00050,R01000,s092.kp,291453,13832,0.010969877243041992
12Circle,n00050,R01000,s093.kp,262354,12451,0.00897669792175293
12Circle,n00050,R01000,s094.kp,250490,11888,0.007979869842529297
12Circle,n00050,R01000,s095.kp,241156,11445,0.00997304916381836
