class,n,R,s,totalValue,totalWeight,processingTime
11ProfitCeiling,n00050,R01000,s000.kp,14229,14237,0.008975505828857422
11ProfitCeiling,n00050,R01000,s001.kp,11784,11792,0.009943723678588867
11ProfitCeiling,n00050,R01000,s002.kp,13566,13570,0.00794529914855957
11ProfitCeiling,n00050,R01000,s003.kp,13209,13214,0.008008956909179688
11ProfitCeiling,n00050,R01000,s004.kp,12261,12261,0.007016420364379883
11ProfitCeiling,n00050,R01000,s005.kp,12708,12718,0.00944828987121582
11ProfitCeiling,n00050,R01000,s006.kp,13317,13326,0.011967897415161133
11ProfitCeiling,n00050,R01000,s007.kp,10470,10475,0.006983041763305664
11ProfitCeiling,n00050,R01000,s008.kp,11820,11821,0.007977008819580078
11ProfitCeiling,n00050,R01000,s009.kp,10833,10833,0.007980108261108398
11ProfitCeiling,n00050,R01000,s010.kp,12492,12499,0.007978677749633789
11ProfitCeiling,n00050,R01000,s011.kp,12648,12656,0.006983280181884766
11ProfitCeiling,n00050,R01000,s012.kp,11622,11630,0.006980419158935547
11ProfitCeiling,n00050,R01000,s013.kp,12537,12546,0.0069811344146728516
11ProfitCeiling,n00050,R01000,s014.kp,11817,11824,0.007979154586791992
11ProfitCeiling,n00050,R01000,s015.kp,13086,13087,0.006981611251831055
11ProfitCeiling,n00050,R01000,s016.kp,11922,11929,0.006979703903198242
11ProfitCeiling,n00050,R01000,s017.kp,14067,14071,0.0069811344146728516
11ProfitCeiling,n00050,R01000,s018.kp,12117,12122,0.006976604461669922
11ProfitCeiling,n00050,R01000,s019.kp,11508,11510,0.0069811344146728516
11ProfitCeiling,n00050,R01000,s020.kp,11670,11675,0.010973215103149414
11ProfitCeiling,n00050,R01000,s021.kp,12060,12067,0.006488800048828125
11ProfitCeiling,n00050,R01000,s022.kp,13998,14006,0.006981611251831055
11ProfitCeiling,n00050,R01000,s023.kp,11232,11236,0.006975412368774414
11ProfitCeiling,n00050,R01000,s024.kp,13770,13778,0.007977962493896484
11ProfitCeiling,n00050,R01000,s025.kp,11376,11385,0.0069811344146728516
11ProfitCeiling,n00050,R01000,s026.kp,12969,12971,0.007976055145263672
11ProfitCeiling,n00050,R01000,s027.kp,13272,13273,0.00697016716003418
11ProfitCeiling,n00050,R01000,s028.kp,10575,10577,0.006982564926147461
11ProfitCeiling,n00050,R01000,s029.kp,12087,12098,0.007485151290893555
11ProfitCeiling,n00050,R01000,s030.kp,13122,13129,0.007979631423950195
11ProfitCeiling,n00050,R01000,s031.kp,11505,11515,0.00698089599609375
11ProfitCeiling,n00050,R01000,s032.kp,11322,11324,0.0069811344146728516
11ProfitCeiling,n00050,R01000,s033.kp,12105,12109,0.007978200912475586
11ProfitCeiling,n00050,R01000,s034.kp,13290,13297,0.007979393005371094
11ProfitCeiling,n00050,R01000,s035.kp,12966,12974,0.00698089599609375
11ProfitCeiling,n00050,R01000,s036.kp,13944,13946,0.007981061935424805
11ProfitCeiling,n00050,R01000,s037.kp,12696,12705,0.008484363555908203
11ProfitCeiling,n00050,R01000,s038.kp,11241,11242,0.007977724075317383
11ProfitCeiling,n00050,R01000,s039.kp,12027,12033,0.008975744247436523
11ProfitCeiling,n00050,R01000,s040.kp,12213,12219,0.011967182159423828
11ProfitCeiling,n00050,R01000,s041.kp,12333,12339,0.007976770401000977
11ProfitCeiling,n00050,R01000,s042.kp,11157,11167,0.009974002838134766
11ProfitCeiling,n00050,R01000,s043.kp,12822,12827,0.008975744247436523
11ProfitCeiling,n00050,R01000,s044.kp,11247,11252,0.009973526000976562
11ProfitCeiling,n00050,R01000,s045.kp,11985,11991,0.012964963912963867
11ProfitCeiling,n00050,R01000,s046.kp,11373,11380,0.013961315155029297
11ProfitCeiling,n00050,R01000,s047.kp,12447,12450,0.009972810745239258
11ProfitCeiling,n00050,R01000,s048.kp,10464,10469,0.008976459503173828
11ProfitCeiling,n00050,R01000,s049.kp,11685,11692,0.010976314544677734
11ProfitCeiling,n00050,R01000,s050.kp,14241,14251,0.011484861373901367
11ProfitCeiling,n00050,R01000,s051.kp,14355,14361,0.00897526741027832
11ProfitCeiling,n00050,R01000,s052.kp,11394,11398,0.00797891616821289
11ProfitCeiling,n00050,R01000,s053.kp,11973,11979,0.008977174758911133
11ProfitCeiling,n00050,R01000,s054.kp,12603,12609,0.007975578308105469
