class,n,R,s,totalValue,totalWeight,processingTime
09SpannerStronglyCorrelated,n00050,R01000,s000.kp,28440,11540,0.006981372833251953
09SpannerStronglyCorrelated,n00050,R01000,s001.kp,27261,6461,0.005494356155395508
09SpannerStronglyCorrelated,n00050,R01000,s002.kp,28713,13313,0.007485389709472656
09SpannerStronglyCorrelated,n00050,R01000,s003.kp,25627,5327,0.005606174468994141
09SpannerStronglyCorrelated,n00050,R01000,s004.kp,19821,2121,0.005635738372802734
09SpannerStronglyCorrelated,n00050,R01000,s005.kp,21313,7813,0.006141185760498047
09SpannerStronglyCorrelated,n00050,R01000,s006.kp,23776,9976,0.0057146549224853516
09SpannerStronglyCorrelated,n00050,R01000,s007.kp,17848,2648,0.005284547805786133
09SpannerStronglyCorrelated,n00050,R01000,s008.kp,20800,5700,0.0062122344970703125
09SpannerStronglyCorrelated,n00050,R01000,s009.kp,17188,4588,0.006506204605102539
09SpannerStronglyCorrelated,n00050,R01000,s010.kp,21978,6578,0.005529880523681641
09SpannerStronglyCorrelated,n00050,R01000,s011.kp,19398,5698,0.006570100784301758
09SpannerStronglyCorrelated,n00050,R01000,s012.kp,17687,5587,0.005589008331298828
09SpannerStronglyCorrelated,n00050,R01000,s013.kp,20298,5698,0.008602380752563477
09SpannerStronglyCorrelated,n00050,R01000,s014.kp,23852,3852,0.006102085113525391
09SpannerStronglyCorrelated,n00050,R01000,s015.kp,29698,8298,0.0070116519927978516
09SpannerStronglyCorrelated,n00050,R01000,s016.kp,19140,4640,0.00598454475402832
09SpannerStronglyCorrelated,n00050,R01000,s017.kp,25095,8395,0.0069811344146728516
09SpannerStronglyCorrelated,n00050,R01000,s018.kp,22848,5048,0.00498509407043457
09SpannerStronglyCorrelated,n00050,R01000,s019.kp,20859,7959,0.006562471389770508
09SpannerStronglyCorrelated,n00050,R01000,s020.kp,22126,8826,0.006561279296875
09SpannerStronglyCorrelated,n00050,R01000,s021.kp,25350,5350,0.005558490753173828
09SpannerStronglyCorrelated,n00050,R01000,s022.kp,29138,6738,0.006645917892456055
09SpannerStronglyCorrelated,n00050,R01000,s023.kp,25944,11844,0.0061109066009521484
09SpannerStronglyCorrelated,n00050,R01000,s024.kp,23608,9308,0.0074994564056396484
09SpannerStronglyCorrelated,n00050,R01000,s025.kp,23008,6808,0.005460262298583984
09SpannerStronglyCorrelated,n00050,R01000,s026.kp,22950,5450,0.005571842193603516
09SpannerStronglyCorrelated,n00050,R01000,s027.kp,22940,8540,0.006737470626831055
09SpannerStronglyCorrelated,n00050,R01000,s028.kp,13095,1195,0.0056684017181396484
09SpannerStronglyCorrelated,n00050,R01000,s029.kp,21970,5570,0.005593061447143555
09SpannerStronglyCorrelated,n00050,R01000,s030.kp,20309,4209,0.005675077438354492
09SpannerStronglyCorrelated,n00050,R01000,s031.kp,18810,810,0.005047321319580078
09SpannerStronglyCorrelated,n00050,R01000,s032.kp,18588,1788,0.005572795867919922
09SpannerStronglyCorrelated,n00050,R01000,s033.kp,21164,7164,0.0064885616302490234
09SpannerStronglyCorrelated,n00050,R01000,s034.kp,22980,7480,0.006540536880493164
09SpannerStronglyCorrelated,n00050,R01000,s035.kp,25200,8300,0.006493330001831055
09SpannerStronglyCorrelated,n00050,R01000,s036.kp,24372,7572,0.007509708404541016
09SpannerStronglyCorrelated,n00050,R01000,s037.kp,25704,5604,0.005972146987915039
09SpannerStronglyCorrelated,n00050,R01000,s038.kp,22470,7070,0.0064697265625
09SpannerStronglyCorrelated,n00050,R01000,s039.kp,17959,3459,0.0070285797119140625
09SpannerStronglyCorrelated,n00050,R01000,s040.kp,23884,7484,0.0070285797119140625
09SpannerStronglyCorrelated,n00050,R01000,s041.kp,18055,3155,0.00624537467956543
09SpannerStronglyCorrelated,n00050,R01000,s042.kp,25132,3732,0.004986763000488281
09SpannerStronglyCorrelated,n00050,R01000,s043.kp,24482,5082,0.005986928939819336
09SpannerStronglyCorrelated,n00050,R01000,s044.kp,19497,5397,0.005983114242553711
09SpannerStronglyCorrelated,n00050,R01000,s045.kp,18404,4304,0.006487846374511719
09SpannerStronglyCorrelated,n00050,R01000,s046.kp,24060,7760,0.005508899688720703
09SpannerStronglyCorrelated,n00050,R01000,s047.kp,19808,4908,0.005842685699462891
09SpannerStronglyCorrelated,n00050,R01000,s048.kp,21859,4159,0.00600433349609375
09SpannerStronglyCorrelated,n00050,R01000,s049.kp,21793,3193,0.007687568664550781
09SpannerStronglyCorrelated,n00050,R01000,s050.kp,20737,4437,0.008306503295898438
09SpannerStronglyCorrelated,n00050,R01000,s051.kp,23830,5730,0.007485628128051758
09SpannerStronglyCorrelated,n00050,R01000,s052.kp,26103,5803,0.007618427276611328
09SpannerStronglyCorrelated,n00050,R01000,s053.kp,23937,8737,0.008009672164916992
09SpannerStronglyCorrelated,n00050,R01000,s054.kp,24655,6255,0.007050514221191406
09SpannerStronglyCorrelated,n00050,R01000,s055.kp,27768,5668,0.007300376892089844
09SpannerStronglyCorrelated,n00050,R01000,s056.kp,23417,8817,0.008285760879516602
09SpannerStronglyCorrelated,n00050,R01000,s057.kp,22396,4196,0.008488893508911133
09SpannerStronglyCorrelated,n00050,R01000,s058.kp,20326,4426,0.006981372833251953
09SpannerStronglyCorrelated,n00050,R01000,s059.kp,28728,7828,0.005495309829711914
09SpannerStronglyCorrelated,n00050,R01000,s060.kp,20752,5252,0.005509376525878906
09SpannerStronglyCorrelated,n00050,R01000,s061.kp,21025,6525,0.007486104965209961
09SpannerStronglyCorrelated,n00050,R01000,s062.kp,25691,7191,0.005547523498535156
09SpannerStronglyCorrelated,n00050,R01000,s063.kp,19838,4438,0.006014347076416016
09SpannerStronglyCorrelated,n00050,R01000,s064.kp,19781,6281,0.006494760513305664
09SpannerStronglyCorrelated,n00050,R01000,s065.kp,19399,4099,0.0069844722747802734
09SpannerStronglyCorrelated,n00050,R01000,s066.kp,23090,2490,0.005981922149658203
09SpannerStronglyCorrelated,n00050,R01000,s067.kp,26521,5721,0.006488800048828125
09SpannerStronglyCorrelated,n00050,R01000,s068.kp,26923,10823,0.007654666900634766
09SpannerStronglyCorrelated,n00050,R01000,s069.kp,23436,3936,0.0075321197509765625
09SpannerStronglyCorrelated,n00050,R01000,s070.kp,27384,8184,0.00691533088684082
09SpannerStronglyCorrelated,n00050,R01000,s071.kp,18972,4872,0.009495735168457031
09SpannerStronglyCorrelated,n00050,R01000,s072.kp,24882,3582,0.006981611251831055
09SpannerStronglyCorrelated,n00050,R01000,s073.kp,19990,4190,0.00551152229309082
09SpannerStronglyCorrelated,n00050,R01000,s074.kp,28342,10442,0.00652623176574707
09SpannerStronglyCorrelated,n00050,R01000,s075.kp,20467,5767,0.005942344665527344
09SpannerStronglyCorrelated,n00050,R01000,s076.kp,25741,7941,0.007964611053466797
09SpannerStronglyCorrelated,n00050,R01000,s077.kp,22145,5945,0.007276773452758789
09SpannerStronglyCorrelated,n00050,R01000,s078.kp,27120,7020,0.008483171463012695
09SpannerStronglyCorrelated,n00050,R01000,s079.kp,21442,2642,0.007071495056152344
09SpannerStronglyCorrelated,n00050,R01000,s080.kp,22400,4900,0.007842779159545898
09SpannerStronglyCorrelated,n00050,R01000,s081.kp,21265,6265,0.009490251541137695
09SpannerStronglyCorrelated,n00050,R01000,s082.kp,22548,4048,0.008486509323120117
09SpannerStronglyCorrelated,n00050,R01000,s083.kp,21695,7395,0.007510185241699219
09SpannerStronglyCorrelated,n00050,R01000,s084.kp,23648,9648,0.011494874954223633
09SpannerStronglyCorrelated,n00050,R01000,s085.kp,23704,4904,0.007488250732421875
09SpannerStronglyCorrelated,n00050,R01000,s086.kp,24474,3774,0.008411884307861328
09SpannerStronglyCorrelated,n00050,R01000,s087.kp,15937,1837,0.008488893508911133
09SpannerStronglyCorrelated,n00050,R01000,s088.kp,22623,3823,0.0064928531646728516
09SpannerStronglyCorrelated,n00050,R01000,s089.kp,25767,4467,0.006543397903442383
09SpannerStronglyCorrelated,n00050,R01000,s090.kp,20766,2066,0.006025552749633789
09SpannerStronglyCorrelated,n00050,R01000,s091.kp,19783,1683,0.006229400634765625
09SpannerStronglyCorrelated,n00050,R01000,s092.kp,23753,7153,0.006979703903198242
09SpannerStronglyCorrelated,n00050,R01000,s093.kp,26049,8949,0.0059833526611328125
09SpannerStronglyCorrelated,n00050,R01000,s094.kp,22222,4222,0.0064907073974609375
09SpannerStronglyCorrelated,n00050,R01000,s095.kp,23367,7567,0.006023406982421875
09SpannerStronglyCorrelated,n00050,R01000,s096.kp,27111,7611,0.005522251129150391
09SpannerStronglyCorrelated,n00050,R01000,s097.kp,26007,6507,0.006970405578613281
09SpannerStronglyCorrelated,n00050,R01000,s098.kp,23233,7033,0.0067441463470458984
