class,n,R,s,totalValue,totalWeight,processingTime
08SpannerWeaklyCorrelated,n00050,R01000,s000.kp,10354,11452,0.010483026504516602
08SpannerWeaklyCorrelated,n00050,R01000,s001.kp,15276,6437,0.010056495666503906
08SpannerWeaklyCorrelated,n00050,R01000,s002.kp,2480,13330,0.010442256927490234
08SpannerWeaklyCorrelated,n00050,R01000,s003.kp,10935,5376,0.010482072830200195
08SpannerWeaklyCorrelated,n00050,R01000,s004.kp,4992,2184,0.0069806575775146484
08SpannerWeaklyCorrelated,n00050,R01000,s005.kp,18104,7683,0.012511968612670898
08SpannerWeaklyCorrelated,n00050,R01000,s006.kp,11356,9872,0.010503053665161133
08SpannerWeaklyCorrelated,n00050,R01000,s007.kp,7485,2594,0.00748896598815918
08SpannerWeaklyCorrelated,n00050,R01000,s008.kp,8760,5802,0.006980419158935547
08SpannerWeaklyCorrelated,n00050,R01000,s009.kp,11213,4706,0.008512496948242188
08SpannerWeaklyCorrelated,n00050,R01000,s010.kp,10912,6448,0.007983922958374023
08SpannerWeaklyCorrelated,n00050,R01000,s011.kp,17642,5662,0.008499860763549805
08SpannerWeaklyCorrelated,n00050,R01000,s012.kp,9357,5506,0.009504318237304688
08SpannerWeaklyCorrelated,n00050,R01000,s013.kp,15176,5512,0.008506298065185547
08SpannerWeaklyCorrelated,n00050,R01000,s014.kp,17620,3690,0.009498834609985352
08SpannerWeaklyCorrelated,n00050,R01000,s015.kp,14484,7959,0.009098291397094727
08SpannerWeaklyCorrelated,n00050,R01000,s016.kp,8016,4587,0.009663820266723633
08SpannerWeaklyCorrelated,n00050,R01000,s017.kp,20769,8165,0.010515213012695312
08SpannerWeaklyCorrelated,n00050,R01000,s018.kp,6677,5036,0.01457071304321289
08SpannerWeaklyCorrelated,n00050,R01000,s019.kp,10696,7817,0.010614871978759766
08SpannerWeaklyCorrelated,n00050,R01000,s020.kp,19355,8806,0.009940147399902344
08SpannerWeaklyCorrelated,n00050,R01000,s021.kp,15144,5333,0.011487483978271484
08SpannerWeaklyCorrelated,n00050,R01000,s022.kp,19213,6987,0.007481098175048828
08SpannerWeaklyCorrelated,n00050,R01000,s023.kp,23100,11760,0.007505178451538086
08SpannerWeaklyCorrelated,n00050,R01000,s024.kp,21854,9488,0.006844520568847656
08SpannerWeaklyCorrelated,n00050,R01000,s025.kp,15678,6838,0.009775638580322266
