class,n,R,s,totalValue,totalWeight,processingTime
04AlmostStronglyCorrelated,n00050,R01000,s000.kp,17556,14238,0.009987354278564453
04AlmostStronglyCorrelated,n00050,R01000,s001.kp,15308,11792,0.007954120635986328
04AlmostStronglyCorrelated,n00050,R01000,s002.kp,16983,13570,0.007976531982421875
04AlmostStronglyCorrelated,n00050,R01000,s003.kp,16616,13214,0.007842779159545898
04AlmostStronglyCorrelated,n00050,R01000,s004.kp,15764,12263,0.010664701461791992
04AlmostStronglyCorrelated,n00050,R01000,s005.kp,16204,12719,0.008411884307861328
04AlmostStronglyCorrelated,n00050,R01000,s006.kp,16632,13327,0.008973121643066406
04AlmostStronglyCorrelated,n00050,R01000,s007.kp,14056,10461,0.006883859634399414
04AlmostStronglyCorrelated,n00050,R01000,s008.kp,15413,11819,0.007594585418701172
04AlmostStronglyCorrelated,n00050,R01000,s009.kp,14434,10836,0.010484457015991211
04AlmostStronglyCorrelated,n00050,R01000,s010.kp,15999,12499,0.007601499557495117
04AlmostStronglyCorrelated,n00050,R01000,s011.kp,16142,12656,0.009271621704101562
04AlmostStronglyCorrelated,n00050,R01000,s012.kp,15126,11630,0.006967782974243164
04AlmostStronglyCorrelated,n00050,R01000,s013.kp,15950,12547,0.00667262077331543
04AlmostStronglyCorrelated,n00050,R01000,s014.kp,15312,11823,0.00850367546081543
04AlmostStronglyCorrelated,n00050,R01000,s015.kp,16592,13089,0.0076334476470947266
04AlmostStronglyCorrelated,n00050,R01000,s016.kp,15416,11928,0.006561279296875
04AlmostStronglyCorrelated,n00050,R01000,s017.kp,17479,14070,0.007981061935424805
04AlmostStronglyCorrelated,n00050,R01000,s018.kp,15519,12121,0.0068666934967041016
04AlmostStronglyCorrelated,n00050,R01000,s019.kp,14999,11508,0.0076482295989990234
04AlmostStronglyCorrelated,n00050,R01000,s020.kp,15165,11677,0.007486581802368164
04AlmostStronglyCorrelated,n00050,R01000,s021.kp,15581,12067,0.009549856185913086
04AlmostStronglyCorrelated,n00050,R01000,s022.kp,17421,14006,0.008332967758178711
04AlmostStronglyCorrelated,n00050,R01000,s023.kp,14751,11237,0.00850534439086914
04AlmostStronglyCorrelated,n00050,R01000,s024.kp,17189,13779,0.011332988739013672
04AlmostStronglyCorrelated,n00050,R01000,s025.kp,14888,11384,0.0071218013763427734
04AlmostStronglyCorrelated,n00050,R01000,s026.kp,16470,12967,0.008042335510253906
04AlmostStronglyCorrelated,n00050,R01000,s027.kp,16676,13274,0.011043310165405273
04AlmostStronglyCorrelated,n00050,R01000,s028.kp,14268,10574,0.006710529327392578
04AlmostStronglyCorrelated,n00050,R01000,s029.kp,15507,12097,0.008538484573364258
04AlmostStronglyCorrelated,n00050,R01000,s030.kp,16536,13130,0.008496999740600586
