filePath,totalValue,totalWeight,processingTime
04AlmostStronglyCorrelated\n00050\R01000\s074.kp,16694,13285,0.12552881240844727
04AlmostStronglyCorrelated\n00050\R01000\s075.kp,15217,11696,0.006716251373291016
04AlmostStronglyCorrelated\n00050\R01000\s076.kp,16645,13250,0.0009953975677490234
04AlmostStronglyCorrelated\n00050\R01000\s077.kp,15731,12226,0.007570981979370117
04AlmostStronglyCorrelated\n00050\R01000\s078.kp,15565,12066,0.08814620971679688
04AlmostStronglyCorrelated\n00050\R01000\s079.kp,14583,10879,0.0
04AlmostStronglyCorrelated\n00050\R01000\s080.kp,15230,11630,0.0009641647338867188
04AlmostStronglyCorrelated\n00050\R01000\s081.kp,15854,12350,0.0010006427764892578
04AlmostStronglyCorrelated\n00050\R01000\s082.kp,15572,11961,0.0012440681457519531
04AlmostStronglyCorrelated\n00050\R01000\s083.kp,15634,12233,0.17683625221252441
04AlmostStronglyCorrelated\n00050\R01000\s084.kp,15212,11705,0.0
04AlmostStronglyCorrelated\n00050\R01000\s085.kp,16008,12604,0.0010325908660888672
04AlmostStronglyCorrelated\n00050\R01000\s086.kp,15985,12568,0.013469934463500977
04AlmostStronglyCorrelated\n00050\R01000\s087.kp,16192,12701,0.0
04AlmostStronglyCorrelated\n00050\R01000\s088.kp,15633,12025,0.0009970664978027344
04AlmostStronglyCorrelated\n00050\R01000\s089.kp,16709,13208,0.0009953975677490234
04AlmostStronglyCorrelated\n00050\R01000\s090.kp,15849,12339,0.0
04AlmostStronglyCorrelated\n00050\R01000\s091.kp,16861,13447,0.0015072822570800781
04AlmostStronglyCorrelated\n00050\R01000\s092.kp,17149,13831,0.03498387336730957
04AlmostStronglyCorrelated\n00050\R01000\s093.kp,15953,12451,0.04550671577453613
04AlmostStronglyCorrelated\n00050\R01000\s094.kp,15488,11886,0.0005030632019042969
04AlmostStronglyCorrelated\n00050\R01000\s095.kp,14960,11445,0.000997304916381836
04AlmostStronglyCorrelated\n00050\R01000\s096.kp,16334,12843,0.0009992122650146484
04AlmostStronglyCorrelated\n00050\R01000\s097.kp,15134,11519,0.0
04AlmostStronglyCorrelated\n00050\R01000\s098.kp,16047,12632,0.1858663558959961
04AlmostStronglyCorrelated\n00050\R01000\s099.kp,16271,12786,0.0
04AlmostStronglyCorrelated\n00050\R10000\s000.kp,175434,142280,0.014998912811279297
04AlmostStronglyCorrelated\n00050\R10000\s001.kp,152979,117814,0.14302563667297363
04AlmostStronglyCorrelated\n00050\R10000\s002.kp,169704,135605,0.010483503341674805
04AlmostStronglyCorrelated\n00050\R10000\s003.kp,166017,132028,0.0
04AlmostStronglyCorrelated\n00050\R10000\s004.kp,157563,122517,0.0015063285827636719
04AlmostStronglyCorrelated\n00050\R10000\s005.kp,161967,127077,0.04644060134887695
04AlmostStronglyCorrelated\n00050\R10000\s006.kp,166196,133162,0.08613085746765137
04AlmostStronglyCorrelated\n00050\R10000\s007.kp,140445,104478,0.0009982585906982422
04AlmostStronglyCorrelated\n00050\R10000\s008.kp,154013,118094,0.0
04AlmostStronglyCorrelated\n00050\R10000\s009.kp,144215,108235,0.0034973621368408203
04AlmostStronglyCorrelated\n00050\R10000\s010.kp,159891,124887,0.0
04AlmostStronglyCorrelated\n00050\R10000\s011.kp,161358,126437,0.0009965896606445312
04AlmostStronglyCorrelated\n00050\R10000\s012.kp,151166,116207,0.3498415946960449
04AlmostStronglyCorrelated\n00050\R10000\s013.kp,159378,125361,0.019087553024291992
04AlmostStronglyCorrelated\n00050\R10000\s014.kp,153032,118110,0.001992940902709961
04AlmostStronglyCorrelated\n00050\R10000\s015.kp,165811,130773,0.009483098983764648
04AlmostStronglyCorrelated\n00050\R10000\s016.kp,154059,119182,0.0009970664978027344
04AlmostStronglyCorrelated\n00050\R10000\s017.kp,174676,140598,0.001994609832763672
04AlmostStronglyCorrelated\n00050\R10000\s018.kp,155119,121119,0.005983114242553711
04AlmostStronglyCorrelated\n00050\R10000\s019.kp,149842,114977,0.0
04AlmostStronglyCorrelated\n00050\R10000\s020.kp,151571,116661,0.036432504653930664
04AlmostStronglyCorrelated\n00050\R10000\s021.kp,155695,120572,0.01349020004272461
04AlmostStronglyCorrelated\n00050\R10000\s022.kp,174051,139943,0.004987239837646484
04AlmostStronglyCorrelated\n00050\R10000\s023.kp,147363,112272,0.001992940902709961
04AlmostStronglyCorrelated\n00050\R10000\s024.kp,171771,137686,0.009482145309448242
04AlmostStronglyCorrelated\n00050\R10000\s025.kp,148750,113745,0.050011396408081055
04AlmostStronglyCorrelated\n00050\R10000\s026.kp,164590,129593,0.001268625259399414
04AlmostStronglyCorrelated\n00050\R10000\s027.kp,166660,132640,0.03598761558532715
04AlmostStronglyCorrelated\n00050\R10000\s028.kp,142574,105647,0.0
04AlmostStronglyCorrelated\n00050\R10000\s029.kp,154959,120869,0.000997304916381836
04AlmostStronglyCorrelated\n00050\R10000\s030.kp,165221,131184,0.10221719741821289
04AlmostStronglyCorrelated\n00050\R10000\s031.kp,151162,115048,0.0009968280792236328
04AlmostStronglyCorrelated\n00050\R10000\s032.kp,149183,113133,0.09900093078613281
04AlmostStronglyCorrelated\n00050\R10000\s033.kp,155876,120971,0.00235748291015625
04AlmostStronglyCorrelated\n00050\R10000\s034.kp,166877,132847,0.0
04AlmostStronglyCorrelated\n00050\R10000\s035.kp,163708,129632,0.19841361045837402
04AlmostStronglyCorrelated\n00050\R10000\s036.kp,173247,139339,0.012478351593017578
04AlmostStronglyCorrelated\n00050\R10000\s037.kp,160906,126915,0.001994609832763672
04AlmostStronglyCorrelated\n00050\R10000\s038.kp,146347,112326,0.4593336582183838
04AlmostStronglyCorrelated\n00050\R10000\s039.kp,155162,120241,0.0
04AlmostStronglyCorrelated\n00050\R10000\s040.kp,158109,122089,0.0
04AlmostStronglyCorrelated\n00050\R10000\s041.kp,157369,123292,0.1125497817993164
04AlmostStronglyCorrelated\n00050\R10000\s042.kp,146682,111564,0.35413122177124023
04AlmostStronglyCorrelated\n00050\R10000\s043.kp,162271,128170,0.002993345260620117
04AlmostStronglyCorrelated\n00050\R10000\s044.kp,148374,112418,0.0
04AlmostStronglyCorrelated\n00050\R10000\s045.kp,154868,119828,0.008329391479492188
04AlmostStronglyCorrelated\n00050\R10000\s046.kp,149689,113723,0.003988504409790039
04AlmostStronglyCorrelated\n00050\R10000\s047.kp,158423,124429,0.04503154754638672
04AlmostStronglyCorrelated\n00050\R10000\s048.kp,140704,104599,0.006941080093383789
04AlmostStronglyCorrelated\n00050\R10000\s049.kp,150896,116814,0.3753550052642822
04AlmostStronglyCorrelated\n00050\R10000\s050.kp,175317,142396,0.02849555015563965
04AlmostStronglyCorrelated\n00050\R10000\s051.kp,176588,143483,0.9191062450408936
04AlmostStronglyCorrelated\n00050\R10000\s052.kp,149984,113867,0.005494117736816406
04AlmostStronglyCorrelated\n00050\R10000\s053.kp,154590,119663,0.002413034439086914
04AlmostStronglyCorrelated\n00050\R10000\s054.kp,161048,125976,0.007487058639526367
04AlmostStronglyCorrelated\n00050\R10000\s055.kp,154797,120759,0.017882585525512695
04AlmostStronglyCorrelated\n00050\R10000\s056.kp,146957,111937,0.023478984832763672
04AlmostStronglyCorrelated\n00050\R10000\s057.kp,162779,128770,0.0
04AlmostStronglyCorrelated\n00050\R10000\s058.kp,154182,120166,0.48328590393066406
04AlmostStronglyCorrelated\n00050\R10000\s059.kp,170026,136065,0.0
04AlmostStronglyCorrelated\n00050\R10000\s060.kp,148964,113896,0.013808488845825195
04AlmostStronglyCorrelated\n00050\R10000\s061.kp,146726,111699,0.0
04AlmostStronglyCorrelated\n00050\R10000\s062.kp,158355,123310,0.014358043670654297
