filePath,totalValue,totalWeight,processingTime
01WeaklyCorrelated\n00050\R01000\s000.kp,15768,14232,0.0
01WeaklyCorrelated\n00050\R01000\s001.kp,13214,11791,0.0
01WeaklyCorrelated\n00050\R01000\s002.kp,15065,13569,0.00099945068359375
01WeaklyCorrelated\n00050\R01000\s003.kp,14805,13206,0.0009984970092773438
01WeaklyCorrelated\n00050\R01000\s004.kp,13349,12258,0.0
01WeaklyCorrelated\n00050\R01000\s005.kp,14125,12715,0.0
01WeaklyCorrelated\n00050\R01000\s006.kp,14539,13306,0.0
01WeaklyCorrelated\n00050\R01000\s007.kp,11884,10472,0.0009992122650146484
01WeaklyCorrelated\n00050\R01000\s008.kp,12736,11818,0.000997781753540039
01WeaklyCorrelated\n00050\R01000\s009.kp,11991,10836,0.0
01WeaklyCorrelated\n00050\R01000\s010.kp,13357,12497,0.0
01WeaklyCorrelated\n00050\R01000\s011.kp,13679,12656,0.0
01WeaklyCorrelated\n00050\R01000\s012.kp,12655,11629,0.0
01WeaklyCorrelated\n00050\R01000\s013.kp,13615,12539,0.0009982585906982422
01WeaklyCorrelated\n00050\R01000\s014.kp,12641,11819,0.0
01WeaklyCorrelated\n00050\R01000\s015.kp,14308,13084,0.0
01WeaklyCorrelated\n00050\R01000\s016.kp,12900,11928,0.0
01WeaklyCorrelated\n00050\R01000\s017.kp,15372,14064,0.0
01WeaklyCorrelated\n00050\R01000\s018.kp,13312,12115,0.0
01WeaklyCorrelated\n00050\R01000\s019.kp,12571,11499,0.0009975433349609375
01WeaklyCorrelated\n00050\R01000\s020.kp,12590,11666,0.0
01WeaklyCorrelated\n00050\R01000\s021.kp,13539,12054,0.0
01WeaklyCorrelated\n00050\R01000\s022.kp,15314,13994,0.0
01WeaklyCorrelated\n00050\R01000\s023.kp,12937,11216,0.0009975433349609375
01WeaklyCorrelated\n00050\R01000\s024.kp,14916,13773,0.0
01WeaklyCorrelated\n00050\R01000\s025.kp,12446,11385,0.0
01WeaklyCorrelated\n00050\R01000\s026.kp,14091,12969,0.0
01WeaklyCorrelated\n00050\R01000\s027.kp,14283,13267,0.0
01WeaklyCorrelated\n00050\R01000\s028.kp,11618,10569,0.0009975433349609375
01WeaklyCorrelated\n00050\R01000\s029.kp,13730,12078,0.0
01WeaklyCorrelated\n00050\R01000\s030.kp,14273,13128,0.0
01WeaklyCorrelated\n00050\R01000\s031.kp,13153,11500,0.0
01WeaklyCorrelated\n00050\R01000\s032.kp,12714,11302,0.0
01WeaklyCorrelated\n00050\R01000\s033.kp,12934,12103,0.0
01WeaklyCorrelated\n00050\R01000\s034.kp,14658,13286,0.0
01WeaklyCorrelated\n00050\R01000\s035.kp,14191,12955,0.0
01WeaklyCorrelated\n00050\R01000\s036.kp,14831,13939,0.0
01WeaklyCorrelated\n00050\R01000\s037.kp,13777,12692,0.0010275840759277344
01WeaklyCorrelated\n00050\R01000\s038.kp,12391,11237,0.0
01WeaklyCorrelated\n00050\R01000\s039.kp,13183,12027,0.0
01WeaklyCorrelated\n00050\R01000\s040.kp,13514,12219,0.0
01WeaklyCorrelated\n00050\R01000\s041.kp,13707,12334,0.0
